NOME_BANCO,ANO,TRIMESTRE,NUMERO_OP,VOLUME_OP,NUMERO_INTERBANK,VOLUME_INTERBANK,RESULT_OP,DESPESA_OP
BOFA MERRILL LYNCH,2020,3,5151,13099749,765,4309459,355702,0
Banco Central do Brasil,2020,3,13,25003,51,16281634,0,0
SOCIETE GENERALE,2020,3,2086,8190126,576,4418367,357253,0
BANCO MUFG BRASIL S.A.,2020,3,3059,1533343,3454,11045231,58097,0
CREDIT AGRICOLE,2020,3,246,432301,758,10298604,583305,0
VOTORANTIM,2020,3,4737,3703780,1998,5465855,136295,0
MORGAN STANLEY,2020,3,2070,4970292,130,3491972,0,-466
GOLDMAN SACHS,2020,3,1390,4489909,156,2992234,0,-35108
DEUTSCHE BANK S.A. - BANCO ALEMAO,2020,3,2876,3640611,805,2649417,57097,0
ABC-BRASIL,2020,3,3203,1344366,1892,4043024,134413,0
CREDIT SUISSE,2020,3,1434,2156642,67,2007059,25167,0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.,2020,3,1336,1708248,170,2119926,423855,0
BANCO HSBC S.A.,2020,3,1068,1620990,671,2180759,279432,0
CONFIDENCE,2020,3,110923,1805256,16772,1006625,65907,0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.,2020,3,4455,1502091,504,1245292,64134,0
RENDIMENTO,2020,3,561700,1106709,24140,1595457,38413,0
SCOTIABANK BRASIL S.A. BANCO M�LTIPLO,2020,3,550,1117262,106,1540212,34221,0
MS BANK S.A. BANCO DE C�MBIO,2020,3,407339,823568,2073,1732414,28774,0
DAYCOVAL,2020,3,205299,993684,1749,1324396,176747,0
SAFRA,2020,3,29310,1346805,857,909293,151458,0
BANCO OURINVEST S.A.,2020,3,86260,1163106,6541,814144,42345,0
MIZUHO,2020,3,1199,720435,359,1082211,82494,0
BEXS,2020,3,152053,917050,661,790369,140104,0
BANCO FIBRA S.A.,2020,3,2368,698002,307,908623,8185,0
GRUPO BONSUCESSO - BS2,2020,3,49372,831289,1347,711116,30550,0
XP,2020,3,2171,821550,1706,631862,12878,0
PINE,2020,3,654,134489,319,1118567,29751,0
CAIXA ECONOMICA FEDERAL,2020,3,27572,519852,1137,648586,76015,0
BANCO TOP�ZIO S.A.,2020,3,2248,343500,4254,645700,3355,0
BANCO B3 S.A.,2020,3,899,608717,280,370154,299,0
BANCO DA CHINA BRASIL S.A.,2020,3,351,496841,170,460764,13582,0
C6 BANK,2020,3,7015,199980,639,746024,6107,0
M�XIMA,2020,3,111918,629359,380,296846,24555,0
HAITONG,2020,3,1082,431305,78,424614,13972,0
CCB,2020,3,1929,390983,164,419683,66229,0
BANCO KDB DO BRASIL S.A.,2020,3,1420,394560,155,407268,2135,0
BOCOM,2020,3,593,315914,49,299864,8567,0
PLURAL,2020,3,2027,344868,172,263358,7726,0
BMG,2020,3,142,194344,21,347680,10090,0
BANRISUL,2020,3,6534,339269,109,182952,40418,0
SANTANDER,2020,2,186444,46343743,5353,48962675,0,-5951937
CITIBANK,2020,2,69262,53994757,861,12505968,0,-1436038
BRADESCO,2020,2,199536,49082619,2647,16228832,6938133,0
ITAU,2020,2,268519,28967424,1940,27564913,6263782,0
JP MORGAN CHASE,2020,2,16832,29904978,1234,18419721,1013748,0
BB,2020,2,189031,28160654,1237,10922835,185045,0
BANCO ABN AMRO S.A.,2020,2,1005,10247780,321,24364444,82615,0
BTG PACTUAL,2020,2,5826,4179757,691,21213091,0,-3902383
Banco Central do Brasil,2020,2,18,36637,109,18544202,0,0
SOCIETE GENERALE,2020,2,2637,9675552,685,7072580,299044,0
BNP PARIBAS,2020,2,10041,6714595,3518,9214871,2239044,0
BOFA MERRILL LYNCH,2020,2,5171,10699760,663,4735819,724872,0
ING,2020,2,305,1788828,413,12094228,2083381,0
CREDIT AGRICOLE,2020,2,251,1475191,688,11411344,1893422,0
BANCO MUFG BRASIL S.A.,2020,2,3079,1573053,2768,9306437,72333,0
GOLDMAN SACHS,2020,2,1666,5720906,119,3099717,359931,0
MORGAN STANLEY,2020,2,2879,4451770,149,4141652,11711,0
CREDIT SUISSE,2020,2,1729,4927504,62,1858908,1119713,0
VOTORANTIM,2020,2,4327,2404351,2074,3556619,382696,0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.,2020,2,1234,2565737,184,3355400,1585594,0
ABC-BRASIL,2020,2,3148,2449063,1653,3405031,314753,0
SAFRA,2020,2,20266,2631370,747,3153899,489915,0
BANCO HSBC S.A.,2020,2,566,2290788,592,2900750,413854,0
DEUTSCHE BANK S.A. - BANCO ALEMAO,2020,2,3113,2448053,632,2577119,46369,0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.,2020,2,4817,1714189,482,1714970,317079,0
RENDIMENTO,2020,2,529038,1070915,18766,1359326,118979,0
MIZUHO,2020,2,1283,762508,406,1412246,314501,0
BANCO DA CHINA BRASIL S.A.,2020,2,438,1444609,218,668885,84041,0
MS BANK S.A. BANCO DE C�MBIO,2020,2,322695,738119,1713,1125321,64205,0
BANCO OURINVEST S.A.,2020,2,67884,1022166,5594,819139,138211,0
CCB,2020,2,1217,1129721,148,602245,611351,0
DAYCOVAL,2020,2,77532,636330,1628,1005326,51167,0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,2020,2,65,88863,58,1522793,708026,0
SCOTIABANK BRASIL S.A. BANCO M�LTIPLO,2020,2,470,907162,61,654454,509027,0
CONFIDENCE,2020,2,65554,756389,11452,613916,174456,0
BANCO FIBRA S.A.,2020,2,2426,879688,163,412891,75953,0
BEXS,2020,2,92664,653532,483,558107,203364,0
MODAL,2020,2,1100,910970,40,219143,48527,0
GRUPO BONSUCESSO - BS2,2020,2,39094,640303,1253,434426,68873,0
PAN,2020,2,87,477907,8,477606,1158,0
CAIXA ECONOMICA FEDERAL,2020,2,27859,440757,765,464620,624560,0
BANCO B3 S.A.,2020,2,979,509292,307,229616,1187,0
M�XIMA,2020,2,87480,492813,338,212670,45458,0
PINE,2020,2,581,126050,293,498304,158028,0
BANCO KEB HANA DO BRASIL S.A.,2020,2,364,416461,104,102735,12843,0
BANCO TOP�ZIO S.A.,2020,2,3438,148047,2038,361266,2248,0
COMMERZBANK BRASIL S.A. - BANCO M�LTIPLO,2020,2,342,178372,122,277641,114983,0
ADVANCED CORRETORA DE C�MBIO LTDA,2020,2,20082,208235,1948,232341,20076,0
BR PARTNERS,2020,2,375,209825,46,228500,0,-1830
BANRISUL,2020,2,7003,301175,130,136745,313740,0
SANTANDER,2020,1,221820,56809733,6210,86604289,0,-3630329
ITAU,2020,1,359212,47674382,2725,50937951,5809748,0
CITIBANK,2020,1,69773,67285673,1291,21310370,0,-1561861
BRADESCO,2020,1,259151,42686964,3230,23341755,6061337,0
JP MORGAN CHASE,2020,1,18140,47735345,1463,17750354,595726,0
Banco Central do Brasil,2020,1,16,65605,138,46745013,0,0
BANCO ABN AMRO S.A.,2020,1,1110,14781251,344,25686693,99101,0
SOCIETE GENERALE,2020,1,2931,13429341,878,21946155,39901,0
BB,2020,1,278951,24833273,1541,7684770,509816,0
BOFA MERRILL LYNCH,2020,1,5402,18081094,1111,11448410,333007,0
BTG PACTUAL,2020,1,6153,3853460,624,24950737,0,-3705123
ING,2020,1,368,1731580,499,20337322,1431773,0
MORGAN STANLEY,2020,1,4283,11765558,275,7980473,0,-6798
BNP PARIBAS,2020,1,10148,8848788,3722,9867663,1747567,0
GOLDMAN SACHS,2020,1,1726,8455866,260,7155527,308730,0
BANCO MUFG BRASIL S.A.,2020,1,3538,1814520,3489,13428948,94777,0
DEUTSCHE BANK S.A. - BANCO ALEMAO,2020,1,4040,6807428,784,3958610,0,-58007
CREDIT AGRICOLE,2020,1,307,743779,640,8753284,1277056,0
VOTORANTIM,2020,1,4848,4714545,1899,4720847,244365,0
CREDIT SUISSE,2020,1,1671,2930308,171,5462343,975100,0
ABC-BRASIL,2020,1,2840,1604263,1577,5589056,345628,0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.,2020,1,1421,2485949,201,4061555,1231448,0
HSBC BRASIL S.A. - BANCO DE INVESTIMENTO,2020,1,452,1764695,581,2499032,183665,0
SCOTIABANK BRASIL S.A. BANCO M�LTIPLO,2020,1,447,1739705,91,1320129,445311,0
SAFRA,2020,1,138795,1773883,844,1160087,400583,0
CONFIDENCE,2020,1,333115,1279345,28037,1651313,106605,0
BANCO FIBRA S.A.,2020,1,3063,1786489,274,1078033,49343,0
BANCO OURINVEST S.A.,2020,1,32611,887424,23642,1948305,91691,0
RENDIMENTO,2020,1,578688,1343828,26469,1387802,93558,0
DAYCOVAL,2020,1,181826,1127963,3825,1520617,55342,0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.,2020,1,4888,1278099,436,1240893,248105,0
MS BANK S.A. BANCO DE C�MBIO,2020,1,423166,897509,1625,1229647,31498,0
BEXS,2020,1,115475,1029923,480,756528,104872,0
PINE,2020,1,717,135782,627,1621881,124068,0
BANCO KDB DO BRASIL S.A.,2020,1,1666,854278,225,770021,10308,0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,2020,1,199,226914,56,1332055,650447,0
MIZUHO,2020,1,1420,590263,509,670166,226006,0
CAIXA ECONOMICA FEDERAL,2020,1,37479,502169,1500,756451,485451,0
CCB,2020,1,1480,488453,196,692867,456109,0
GRUPO BONSUCESSO - BS2,2020,1,74190,595988,7707,500306,39268,0
M�XIMA,2020,1,90256,679662,358,343900,20138,0
BANCO B3 S.A.,2020,1,952,580050,286,339640,883,0
B&T CORRETORA DE CAMBIO LTDA.,2020,1,268469,248218,5051,524919,20029,0
COMMERZBANK BRASIL S.A. - BANCO M�LTIPLO,2020,1,545,165762,217,605149,74286,0
BANCO DA CHINA BRASIL S.A.,2020,1,300,435134,161,322813,68209,0
HAITONG,2020,1,658,294674,54,435526,41760,0
MODAL,2020,1,1009,400460,71,323732,33505,0
BOCOM,2020,1,577,473151,24,143937,92092,0
BANRISUL,2020,1,9120,406480,156,170072,244947,0
INTESA SANPAOLO BRASIL S.A. - BANCO M�LTIPLO,2020,1,235,115899,60,459464,294534,0
